Code,Date,Open,High,Low,Close,Volume
ABC003500379,08/01/01,2245.44,2282.95,2151.16,2281.54,18505900
ABC003500379,09/01/01,2312.53,2364.41,2274.08,2311.40,19751300
ABC003500379,10/01/01,2253.85,2417.43,2237.45,2413.71,24703500
ABC003500379,11/01/01,2376.86,2550.39,2376.86,2524.29,28426400
ABC003500379,12/01/01,2522.45,2591.55,2471.06,2506.05,25188500
ABC003500379,16/01/01,2502.66,2510.34,2432.87,2470.72,20739400
ABC003500379,17/01/01,2586.80,2629.17,2539.09,2558.67,28191900
ABC003500379,18/01/01,2574.64,2672.07,2533.37,2670.47,25587100
ABC003500379,19/01/01,2740.11,2740.76,2633.67,2655.77,26971900
ABC003500379,22/01/01,2639.61,2683.12,2598.85,2643.13,20371400
ABC003500379,23/01/01,2642.33,2738.81,2618.72,2730.05,22784700
ABC003500379,24/01/01,2732.92,2771.63,2692.81,2726.45,25673200
ABC003500379,25/01/01,2687.05,2710.22,2595.47,2595.85,22981500
ABC003500379,26/01/01,2538.28,2635.22,2526.55,2631.78,22688000
ABC003500379,29/01/01,2601.67,2696.73,2578.84,2694.53,19701300
ABC003500379,30/01/01,2701.34,2716.41,2661.74,2686.14,20735900
ABC003500379,31/01/01,2695.03,2718.51,2591.92,2593.00,22773100
ABC003500379,01/02/01,2586.24,2627.39,2554.94,2607.16,17762600
ABC003500379,02/02/01,2605.64,2616.40,2471.51,2472.18,17069000
ABC003500379,05/02/01,2447.72,2483.58,2409.20,2467.30,16487600
ABC003500379,06/02/01,2463.50,2531.05,2456.89,2473.24,17889200
ABC003500379,07/02/01,2421.64,2446.66,2349.92,2409.66,20569200
ABC003500379,08/02/01,2436.48,2464.19,2355.15,2355.67,18523600
ABC003500379,09/02/01,2333.01,2342.42,2247.52,2261.77,18819100
ABC003500379,12/02/01,2247.20,2319.90,2229.23,2286.85,17512200
ABC003500379,13/02/01,2315.46,2367.91,2208.01,2208.40,17285500
ABC003500379,14/02/01,2224.35,2307.27,2173.42,2305.82,19873500
ABC003500379,15/02/01,2360.56,2423.65,2355.92,2371.04,21069300
ABC003500379,16/02/01,2228.77,2266.36,2187.31,2212.51,18922000
ABC003500379,20/02/01,2229.91,2235.74,2094.58,2095.11,18783400
ABC003500379,21/02/01,2056.15,2164.25,2044.74,2058.54,20197400
ABC003500379,22/02/01,2058.56,2088.60,1958.88,2032.42,24834700
ABC003500379,23/02/01,1997.55,2061.45,1935.21,2056.06,22379100
ABC003500379,26/02/01,2088.03,2103.63,2020.32,2097.64,17390600
ABC003500379,27/02/01,2067.15,2081.79,1963.63,1964.52,18085400
ABC003500379,28/02/01,1983.35,2010.32,1880.47,1908.32,20827000
ABC003500379,01/03/01,1879.84,1968.02,1837.98,1968.02,22568800
ABC003500379,02/03/01,1886.04,1988.35,1866.13,1881.34,23741000
ABC003500379,05/03/01,1908.62,1936.02,1892.02,1916.68,14957500
ABC003500379,06/03/01,1983.28,2029.01,1973.87,1976.31,19863800
ABC003500379,07/03/01,2018.94,2018.94,1965.91,1996.23,17744100
ABC003500379,08/03/01,1982.44,1993.50,1933.23,1938.15,17591400
ABC003500379,09/03/01,1892.79,1892.79,1802.91,1813.02,19621200
ABC003500379,12/03/01,1758.06,1762.20,1679.73,1680.64,21498200
ABC003500379,13/03/01,1711.99,1790.31,1691.22,1789.70,20964200
ABC003500379,14/03/01,1711.06,1808.85,1700.85,1745.13,21472200
ABC003500379,15/03/01,1809.50,1813.68,1697.61,1697.92,19637700
ABC003500379,16/03/01,1656.78,1693.60,1627.80,1647.51,21022700
ABC003500379,19/03/01,1659.70,1732.92,1632.48,1730.46,17745700
ABC003500379,20/03/01,1742.99,1749.29,1614.41,1614.47,20165000
ABC003500379,21/03/01,1624.31,1674.31,1594.39,1605.04,21091900
ABC003500379,22/03/01,1624.81,1703.28,1582.48,1701.90,25047700
ABC003500379,23/03/01,1743.96,1754.65,1666.82,1705.02,22845600
ABC003500379,26/03/01,1735.53,1736.88,1667.80,1676.90,17196200
ABC003500379,27/03/01,1680.73,1751.14,1664.66,1735.63,19514100
ABC003500379,28/03/01,1677.63,1687.92,1600.37,1602.22,20722600
ABC003500379,29/03/01,1578.99,1626.88,1543.39,1563.14,20790500
ABC003500379,30/03/01,1573.82,1600.88,1530.14,1573.25,21390500
ABC003500379,02/04/01,1569.66,1594.36,1499.30,1516.58,18483500
ABC003500379,03/04/01,1487.87,1493.11,1390.10,1399.05,25734100
ABC003500379,04/04/01,1392.03,1435.36,1348.52,1370.75,24654700
ABC003500379,05/04/01,1452.04,1521.76,1434.01,1519.05,23330000
ABC003500379,06/04/01,1483.96,1485.37,1425.89,1448.16,18357200
ABC003500379,09/04/01,1472.81,1495.76,1437.85,1481.22,14488300
ABC003500379,10/04/01,1515.58,1620.74,1515.58,1597.87,22034600
ABC003500379,11/04/01,1694.60,1703.89,1624.80,1647.36,23720100
ABC003500379,12/04/01,1617.95,1714.69,1605.61,1714.29,19028000
ABC003500379,13/04/01,1714.29,1714.29,1714.29,1714.29,19028000
ABC003500379,16/04/01,1682.17,1700.39,1630.31,1650.21,15719100
ABC003500379,17/04/01,1605.54,1694.22,1603.99,1671.51,19005800
ABC003500379,18/04/01,1760.05,1892.85,1739.16,1830.79,31956500
ABC003500379,19/04/01,1854.20,1953.57,1829.98,1953.28,27888700
ABC003500379,20/04/01,1933.61,1981.90,1901.40,1933.57,25444200
ABC003500379,23/04/01,1881.52,1881.54,1802.82,1811.89,18456300
ABC003500379,24/04/01,1809.47,1860.08,1756.30,1762.21,19833300
ABC003500379,25/04/01,1758.07,1824.88,1743.45,1814.33,19789400
ABC003500379,26/04/01,1839.40,1844.57,1761.67,1763.33,20288000
ABC003500379,27/04/01,1808.92,1822.44,1777.19,1810.47,18016000
ABC003500379,30/04/01,1855.90,1906.90,1826.12,1855.15,20271800
ABC003500379,01/05/01,1854.67,1919.45,1822.86,1919.01,19225200
ABC003500379,02/05/01,1958.17,1980.13,1916.73,1962.42,25841400
ABC003500379,03/05/01,1913.93,1919.62,1853.84,1877.80,20108800
ABC003500379,04/05/01,1820.57,1930.03,1810.86,1923.81,20571100
ABC003500379,07/05/01,1924.68,1948.02,1889.80,1895.41,17496000
ABC003500379,08/05/01,1939.02,1939.66,1887.23,1929.24,18922800
ABC003500379,09/05/01,1885.00,1921.87,1862.06,1876.60,17935200
ABC003500379,10/05/01,1926.47,1926.95,1838.02,1838.32,17416900
ABC003500379,11/05/01,1842.65,1861.52,1810.89,1821.20,14309300
ABC003500379,14/05/01,1819.39,1820.51,1769.33,1795.06,13385400
ABC003500379,15/05/01,1801.46,1853.05,1790.51,1796.81,17106200
ABC003500379,16/05/01,1778.71,1904.25,1768.62,1899.47,20785800
ABC003500379,17/05/01,1900.84,1955.77,1898.65,1925.14,21543100
ABC003500379,18/05/01,1910.71,1940.76,1898.28,1927.06,17926200
ABC003500379,21/05/01,1931.29,2052.67,1927.04,2052.57,23114800
ABC003500379,22/05/01,2062.90,2070.61,2023.07,2042.93,23148000
ABC003500379,23/05/01,2022.16,2073.98,1957.44,1957.56,18867900
ABC003500379,24/05/01,1965.44,2003.71,1937.67,2003.37,18645700
ABC003500379,25/05/01,2000.12,2003.68,1953.24,1960.74,13854100
ABC003500379,28/05/01,1960.74,2003.68,1953.24,1960.74,13854100
ABC003500379,29/05/01,1946.57,1946.57,1865.18,1873.53,16210600
ABC003500379,30/05/01,1823.84,1837.01,1768.98,1779.00,19912300
ABC003500379,31/05/01,1785.25,1838.29,1784.72,1799.89,18330700
ABC003500379,01/06/01,1826.02,1852.08,1785.44,1840.83,15553000
ABC003500379,04/06/01,1861.12,1869.98,1819.08,1838.84,13203500
ABC003500379,05/06/01,1853.65,1937.94,1853.47,1923.90,18451000
ABC003500379,06/06/01,1931.45,1945.94,1890.51,1903.84,17719400
ABC003500379,07/06/01,1892.98,1963.83,1891.01,1963.31,16605200
ABC003500379,08/06/01,1959.71,1959.71,1885.84,1896.22,14377300
ABC003500379,11/06/01,1885.17,1885.17,1826.28,1846.50,14186300
ABC003500379,12/06/01,1799.58,1871.03,1776.41,1852.03,17135600
ABC003500379,13/06/01,1860.05,1875.29,1789.91,1790.21,15467900
ABC003500379,14/06/01,1766.41,1776.35,1711.32,1711.39,17637600
ABC003500379,15/06/01,1679.33,1725.77,1657.65,1701.53,21093400
ABC003500379,18/06/01,1712.04,1729.39,1662.59,1666.49,15677700
ABC003500379,19/06/01,1736.29,1745.76,1656.74,1675.90,19806500
ABC003500379,20/06/01,1655.26,1722.85,1655.26,1721.56,21107600
ABC003500379,21/06/01,1714.00,1774.25,1697.56,1751.22,21805000
ABC003500379,22/06/01,1755.57,1773.26,1718.35,1727.47,17145800
ABC003500379,25/06/01,1752.71,1755.67,1713.03,1743.90,14817300
